place_name,id,latitude,longitude,Kwh req per block (S19),co2,S19 Kwh req per block,"Production fuel
mix factor
(kgCO_{2} e per kWh)",Power x Emissions factor
Arroyo Aguiar,2340,-31.41667,-60.66667,86509,16.853242,86509,0.087505763,7570.036093
Asco,2345,42.45,9.03333,86509,24.15084857,86509,0.855946672,74047.09067
Ash Creek,48954,31.805,-97.01,86509,27.67949183,86509,0.658177755,56938.29945
Ashdon,2346,52.05,0.3,86509,28.7483104,86509,0.872210588,75454.0658
Assisi,2353,43.03333,12.55,86509,22.27454993,86509,0.557352603,48216.01633
Atarra,4883,25.25417,80.625,86509,25.35288621,86509,0.63726061,55128.77812
Atemajac,4884,20.06667,-103.66667,86509,29.0848762,86509,0.689500848,59648.02882
Athens,4885,34.75,-87,86509,26.18258859,86509,0.365306507,31602.3006
Atoka,4888,34.31667,-96.15,86509,16.67386257,86509,0.272956577,23613.20051
Aubres,4893,44.38333,5.16667,86509,21.26128153,86509,0.091448508,7911.118954
Aumale,4899,36.16667,3.66667,86509,24.3753273,86509,0.14873271,12866.71804
Aumieres,4900,44.33333,3.23333,86509,23.59392136,86509,0.620004539,53635.97268
Ausson,4903,43.08333,0.58333,86509,25.83754199,86509,0.516147779,44651.42824
Avanhandava,4905,-21.46028,-49.95083,86509,13.94576477,,,
Avce,4906,46,13.5,86509,24.35962254,,,
Avilez,4907,25,-103.5,86509,29.69861747,,,
Awere,4910,2.71667,32.83333,86509,22.97105548,,,
Aztec,4913,36.8,-108,86509,19.90440517,,,
Bachmut,4917,48.6,38,86509,15.02753023,,,
Bahjoi,4922,28.48333,78.5,86509,13.55532144,,,
Bald Mountain,4925,35.96667,-82.48333,86509,24.97338642,,,
Baldwyn,4926,34.5,-88.66667,86509,22.15887242,,,
Bali,4928,5.38333,16.38333,86509,20.0406747,,,
Ban Rong Du,4934,16.66667,101.18333,86509,27.52884285,,,
Bandong,4935,-6.91667,107.6,86509,16.94413397,,,
Bansur,4936,27.7,76.33333,86509,28.28889598,,,
Banswal,4937,30.4,78.2,86509,27.81483763,,,
Banten,4938,-6.33333,106,86509,27.47011047,,,
Barbotan,4942,43.95,-0.05,86509,23.57806511,,,
Barcelona (stone),4944,41.36667,2.16667,86509,24.81163312,,,
Barea,4946,42.38333,-2.5,86509,14.41888115,,,
Barnaul,4947,52.73333,84.08333,86509,24.83570129,,,
Barntrup,4948,52,9.1,86509,14.80423745,,,
Baroti,4949,31.61667,76.8,86509,12.95399144,,,
Barwell,4954,52.56528,-1.33972,86509,21.413457,,,
Bassikounou,44876,15.78333,-5.9,86509,14.0444261,,,
Baszkówka,4957,52.03333,20.93583,86509,24.63949159,,,
Bath,4974,45.41667,-98.31667,86509,10.32875912,,,
Bath Furnace,4975,38.25,-83.75,86509,21.74138527,,,
Battle Mountain,56133,40.66813,-117.18913,86509,16.70585325,,,
Bawku,4976,11.08333,-0.18333,86509,22.34567186,,,
Baxter,4977,36.75,-93.5,86509,24.34214931,,,
Beardsley,4984,39.8,-101.2,86509,25.82934051,,,
Beaver Creek,4986,51.16667,-117.33333,86509,12.71818902,,,
Beddgelert,4993,53.01667,-4.1,86509,28.65878777,,,
Bells,5005,33.6,-96.46667,86509,20.55959374,,,
Belville,5009,-32.33333,-64.86667,86509,30.97375451,,,
Benares (a),5011,25.36667,82.91667,86509,18.12468115,,,
Benguerir,30443,32.25,-8.15,86509,12.87510639,,,
Beni M'hira,5018,32.86667,10.8,86509,19.43402884,,,
Benld,5021,39.08333,-89.15,86509,15.92045362,,,
Benoni,5023,-26.16667,28.41667,86509,10.51663486,,,
Bensour,5024,30,-7,86509,20.33999933,,,
Benton,5026,45.95,-67.55,86509,10.53514732,,,
Berduc,48975,-31.91,-58.32833,86509,17.75476397,,,
Béréba,5028,11.65,-3.65,86509,28.10075735,,,
Berlanguillas,5029,41.68333,-3.8,86509,30.5994318,,,
Berthoud,47355,40.30583,-105.02325,86509,26.07225396,,,
Bethlehem,5032,42.53333,-73.83333,86509,23.30625727,,,
Beuste,5034,43.21667,-0.23333,86509,21.05038445,,,
Beyrout,5035,33.88333,35.5,86509,23.15187453,,,
Bhagur,5037,20.88333,74.83333,86509,16.85857893,,,
Bhawad,36591,26.50833,73.11528,86509,22.88682305,,,
Bherai,5039,20.83333,71.46667,86509,27.70700695,,,
Bhola,5040,22.68333,90.65,86509,13.15301621,,,
Bholghati,5041,22.08333,86.9,86509,26.62625131,,,
Bialystok,5042,53.1,23.2,86509,28.28421288,,,
Bielokrynitschie,5043,50.13333,27.16667,86509,28.44255698,,,
Bilanga,5045,12.45,-0.08333,86509,30.80545077,,,
Binningup,5051,-33.15639,115.67639,86509,29.31460104,,,
Birni N'konni,5056,13.76667,5.3,86509,14.38133974,,,
Bishopville,5059,34.16667,-80.28333,86509,15.29638611,,,
Bishunpur,5060,25.38333,82.6,86509,25.82567862,,,
Bjelaja Zerkov,5063,49.78333,30.16667,86509,17.68841185,,,
Bjurböle,5064,60.4,25.8,86509,16.81644422,,,
Black Moshannan Park,5065,40.91667,-78.08333,86509,12.74388911,,,
Blackwell,5068,36.83333,-97.33333,86509,21.48173616,,,
Blanket,5071,31.83333,-98.83333,86509,10.02290838,,,
Blansko,5072,49.36667,16.63333,86509,24.25604852,,,
Bloomington,5076,40.48,-89.00417,86509,10.04492994,,,
Bo Xian,5090,33.83333,115.83333,86509,19.56958579,,,
Bocas,5093,23,-102,86509,29.27828292,,,
Bogou,5097,12.5,0.7,86509,26.7362308,,,
Boguslavka,5098,44.55,131.63333,86509,14.02309554,,,
Borgo San Donino,5110,44.86667,10.05,86509,16.7330274,,,
Bori,5111,21.95,78.03333,86509,27.930942,,,
Boriskino,5112,54.23333,52.48333,86509,13.27938004,,,
Borkut,5113,48.15,24.28333,86509,30.31474693,,,
Borodino,5114,55.46667,35.86667,86509,25.10603448,,,
Botschetschki,5117,51.33333,33.88333,86509,10.46998997,,,
Boumdeid (2003),57168,17.71067,-11.3715,86509,14.49531831,,,
Boumdeid (2011),57167,17.17493,-11.34133,86509,27.83964924,,,
Bovedy,5121,54.56667,-6.33333,86509,22.84552937,,,
Bradford Woods,5128,40.5,-80.08333,86509,29.69144125,,,
Braunau,5133,50.6,16.3,86509,19.48831077,,,
Breitscheid,5134,50.66694,8.18361,86509,22.06958602,,,
Bremervörde,5135,53.4,9.1,86509,13.48534959,,,
Brient,5140,52.13333,59.31667,86509,27.66603224,,,
Bruderheim,5156,53.9,-112.88333,86509,10.97837948,,,
Bukhara,30448,39.77978,64.60035,86509,19.01624791,,,
Bunburra Rockhole,48653,-31.35,129.19,86509,22.10065838,,,
Bununu,5165,10.01667,9.58333,86509,24.46391542,,,
Bur-Gheluai,5169,5,48,86509,25.81711185,,,
Burnwell,5175,37.62194,-82.23722,86509,16.57914971,,,
Bursa,5177,40.2,29.23333,86509,23.58748678,,,
Buschhof,5178,46.45,25.78333,86509,23.98786362,,,
Bustee,5181,26.78333,82.83333,86509,25.37877421,,,
Butsura,5183,27.08333,84.08333,86509,22.34101024,,,
Buzzard Coulee,48654,52.996,-109.84817,86509,23.17020753,,,
Cabezo de Mayo,5185,37.98333,-1.16667,86509,28.75204366,,,
Cabin Creek,5186,35.5,-93.5,86509,24.00172129,,,
Cacak,5187,43.83889,20.33333,86509,12.90184933,,,
Cali,45976,3.405,-76.51,86509,12.3294511,,,
Calivo,5200,11.75,122.33333,86509,20.16614111,,,
Campos Sales,5249,-7.03333,-40.16667,86509,14.37243593,,,
Çanakkale,5250,39.8,26.6,86509,14.15743862,,,
Cañellas,5251,41.25,1.66667,86509,19.58768223,,,
Cangas de Onis,5252,43.38333,-5.15,86509,16.12978987,,,
Canon City,5253,38.47028,-105.24139,86509,23.99607663,,,
Cape Girardeau,5260,37.26667,-89.58333,86509,23.88310205,,,
Capilla del Monte,5264,-30.88333,-64.55,86509,22.31573063,,,
Carancas,45817,-16.66444,-69.04389,86509,17.86677634,,,
Caratash,5265,38.5,27,86509,14.9490699,,,
Castalia,5291,36.08333,-78.06667,86509,28.64630319,,,
Castel Berardenga,5292,43.35,11.5,86509,16.31572799,,,
Castine,5293,44.38333,-68.75,86509,19.7340671,,,
Castrovillari,5295,39.8,16.2,86509,21.40550394,,,
Caswell County,5296,36.5,-79.25,86509,20.72849525,,,
Ceniceros,5306,26.46667,-105.23333,86509,22.49218912,,,
Centerville,5307,43.2,-96.91667,86509,22.42839235,,,
Cereseto,5308,45.08333,8.3,86509,18.81211436,,,
Chadong,5313,28.53333,109.31667,86509,11.49611442,,,
Chail,5314,25.36667,81.66667,86509,26.6789536,,,
Chainpur,5315,25.85,83.48333,86509,29.85903649,,,
Chajari,5316,-30.78333,-58.05,86509,11.4477938,,,
Chandakapur,5320,20.26667,76.01667,86509,15.35154953,,,
Chandpur,5321,27.28333,79.05,86509,19.03364005,,,
Changde,5322,29.08333,111.75,86509,26.53821167,,,
Chantonnay,5325,46.68333,1.05,86509,30.9294302,,,
Charlotte,5328,36.16667,-87.33333,86509,13.82220664,,,
Charsonville,5329,47.93333,1.56667,86509,22.28058846,,,
Charwallas,5330,29.48333,75.5,86509,13.57161817,,,
Chassigny,5331,47.71667,5.36667,86509,22.06182794,,,
Château-Renard,5332,47.93333,2.91667,86509,22.19594784,,,
Chaves,5334,41.93333,-7.46667,86509,24.17938585,,,
Chela,5338,-3.66667,32.5,86509,10.23387471,,,
Chelyabinsk,57165,54.81667,61.11667,86509,16.02995289,,,
Chergach ,47347,23.69639,-5.01472,86509,10.90020535,,,
Chernyi Bor,5339,53.7,30.1,86509,30.0619525,,,
Cherokee Springs,5340,35.03333,-81.88333,86509,29.960612,,,
Chervettaz,5341,46.55,6.81667,86509,25.61492457,,,
Chervony Kut,5342,50.83333,34,86509,11.4895611,,,
Chetrinahatti,5344,14.5,76.5,86509,16.59514482,,,
Chiang Khan,5345,17.9,101.63333,86509,24.03485155,,,
Chicora,5349,40.93333,-79.73333,86509,21.93043245,,,
Chisenga,5355,-10.05944,33.395,86509,25.90002708,,,
Chitado,5356,-17.35,13.96667,86509,10.52873541,,,
Chitenay,5357,47.47083,0.97667,86509,16.79352037,,,
Cilimus,5364,-6.95,108.1,86509,30.32433237,,,
Claxton,5374,32.1025,-81.87278,86509,18.98880277,,,
Colby (Wisconsin),5395,44.9,-90.28333,86509,21.04983874,,,
Cold Bokkeveld,5397,-33.13333,19.38333,86509,29.12829344,,,
Coleman,5401,43.76111,-84.50778,86509,14.42606498,,,
Collescipoli,5403,42.53333,12.61667,86509,25.64896653,,,
Conquista,5418,-19.85,-47.55,86509,28.10943946,,,
Cosina,5451,21.16667,-100.86667,86509,25.46459501,,,
Cranganore,5465,10.2,76.26667,86509,28.27128503,,,
Crescent,5470,35.95,-97.58333,86509,16.03751827,,,
Cronstad,5474,-27.7,27.3,86509,16.90312573,,,
Cross Roads,5476,35.63333,-78.13333,86509,22.11178743,,,
Crumlin,5477,54.61667,-6.21667,86509,11.19835616,,,
Cumberland Falls,5496,36.83333,-84.35,86509,21.40941996,,,
Cynthiana,5500,38.4,-84.25,86509,11.00566954,,,
Dahmani,5504,35.61667,8.83333,86509,17.65975367,,,
Dandapur,5511,26.91667,83.96667,86509,10.10870836,,,
Daniel's Kuil,5513,-28.2,24.56667,86509,12.14980487,,,
Danville,5514,34.4,-87.06667,86509,14.67530829,,,
Darmstadt,6603,49.86667,8.65,86509,12.23520197,,,
Dashoguz,6604,41.98444,59.685,86509,13.22465839,,,
Daule,51559,-1.87089,-79.95756,86509,19.50089803,,,
De Cewsville,6621,43,-80,86509,12.43412236,,,
Deal,6634,40.25,-74,86509,20.25998521,,,
Delhi,6642,28.56667,77.25,86509,25.74407817,,,
Demina,6649,51.46667,84.76667,86509,20.18387663,,,
Denver,6660,39.7825,-104.93056,86509,13.0201937,,,
Dergaon,6664,26.68333,93.86667,86509,15.10224062,,,
Desuri,6693,25.73333,73.61667,86509,11.07299086,,,
Devgaon,6694,19,81,86509,26.85043953,,,
Devri-Khera,6696,24.225,76.525,86509,19.37335747,,,
Dhajala,6698,22.37778,71.42722,86509,21.6976616,,,
Dharwar,6699,14.88333,75.6,86509,11.90505398,,,
Dhurmsala,7640,32.23333,76.46667,86509,10.18199112,,,
Didim,47350,37.35172,27.32997,86509,29.44236826,,,
Diep River,7642,-33.75,18.56667,86509,19.2434728,,,
Distrito Quebracho,7649,-31.88333,-60.46667,86509,10.7733745,,,
Djati-Pengilon,7652,-7.5,111.5,86509,23.91491372,,,
Djermaia,7656,12.73333,15.05,86509,24.43253741,,,
Djoumine,7657,36.95,9.55,86509,18.44513157,,,
Dokachi,7658,23.5,90.33333,86509,27.25917719,,,
Dolgovoli,7659,50.75,25.3,86509,24.28451673,,,
Domanitch,7661,40,29,86509,27.75590013,,,
Dong Ujimqin Qi,7706,45.5,119.03333,86509,19.27460818,,,
Donga Kohrod,7707,21.86667,82.45,86509,23.80421134,,,
Dongtai,7708,32.91667,120.78333,86509,15.54766923,,,
Doroninsk,7718,51.2,112.3,86509,20.94931933,,,
Dosso,7722,13.05,3.16667,86509,22.93219077,,,
Douar Mghila,7723,32.33333,-6.3,86509,15.82085072,,,
Dowa,7725,-13.66667,33.91667,86509,19.73419786,,,
Drake Creek,7728,36.4,-86.5,86509,21.22689402,,,
Dresden (Ontario),7731,42.52,-82.26,86509,24.89312981,,,
Dubrovnik,7736,42.45833,18.44167,86509,24.92909798,,,
Dunbogan,7743,-31.66667,152.83333,86509,16.18558545,,,
Dundrum,7745,52.55,-8.03333,86509,29.96027885,,,
Dunhua,7749,43.33333,128.25,86509,28.94414026,,,
Durala,7750,30.3,76.63333,86509,12.0660347,,,
Duruma,7752,-4,39.5,86509,21.39609118,,,
Duwun,7754,33.43333,127.26667,86509,17.30225628,,,
Dwaleni,7755,-27.2,31.31667,86509,13.51536251,,,
Dyalpur,7757,26.25,82,86509,19.77567317,,,
Dyarrl Island,7758,-3,151,86509,13.95866135,,,
Eagle,7760,40.78167,-96.47167,86509,11.84698239,,,
Ehole,7774,-17.3,15.83333,86509,14.20229169,,,
Eichstädt,7775,48.9,11.21667,86509,18.79847313,,,
Ekeby,7776,56.03333,13,86509,21.20953108,,,
Ekh Khera,7777,28.26667,78.78333,86509,22.71617665,,,
El Idrissia,7807,34.41667,3.25,86509,16.80512087,,,
El Paso de Aguila,45977,25.37,-97.37,86509,18.28783661,,,
El Tigre,7819,19.96722,-103.05167,86509,21.82149945,,,
Elbert,7822,39.24667,-104.58817,86509,10.43177036,,,
Elbogen,7823,50.18333,12.73333,86509,25.39461484,,,
Elenovka,7824,47.83333,37.66667,86509,22.16706867,,,
Ellemeet,10019,51.75,4,86509,20.22641637,,,
Emmaville,10033,-29.46667,151.61667,86509,29.22668838,,,
Enshi,10038,30.3,109.5,86509,13.07526767,,,
Ensisheim,10039,47.86667,7.35,86509,18.41836161,,,
Épinal,10041,48.18333,6.46667,86509,11.15432975,,,
Erakot,10042,19.03333,81.89167,86509,24.07116529,,,
Erevan,10043,40.3,44.5,86509,24.8211345,,,
Ergheo,10044,1.16667,44.16667,86509,23.968323,,,
Erxleben,10049,52.21667,11.25,86509,28.49758992,,,
Esnandes,10051,46.25,-1.1,86509,21.77322331,,,
Essebi,10055,2.88333,30.83333,86509,11.44923833,,,
Estherville,10059,43.41667,-94.83333,86509,26.93549421,,,
Farmington,10074,39.75,-97.03333,86509,20.9552319,,,
Farmville,10075,35.55,-77.53333,86509,25.35503145,,,
Favars,10078,44.38333,2.81667,86509,30.73570805,,,
Fayetteville,10079,36.05,-94.16667,86509,26.38580556,,,
Feid Chair,10080,36.88333,8.45,86509,11.77602627,,,
Felix,10081,32.53333,-87.16667,86509,28.0132884,,,
Fenghsien-Ku,10086,34.6,116.75,86509,22.46428931,,,
Ferguson,10088,36.1,-81.41667,86509,30.43973758,,,
Fermo,10091,43.18111,13.75333,86509,24.76705645,,,
Fisher,10107,47.81667,-96.85,86509,25.3902126,,,
Florence,10111,30.83333,-97.76667,86509,15.28807206,,,
Forest City,10119,43.25,-93.66667,86509,23.0380232,,,
Forest Vale,10120,-33.35,146.85833,86509,12.50559389,,,
Forksville,10123,36.78333,-78.08333,86509,12.99227189,,,
Forsbach,10163,50.95,7.31667,86509,15.30263985,,,
Forsyth,10164,33.01667,-83.96667,86509,16.11665578,,,
Fort Flatters,10166,28.25,7,86509,16.17668191,,,
Frankfort (stone),10177,34.48333,-87.83333,86509,13.43526379,,,
Fuhe,52412,31.47556,113.56694,86509,18.03876688,,,
Fukutomi,10836,33.18333,130.2,86509,12.55831358,,,
Fünen,10838,55.33333,10.33333,86509,20.14773932,,,
Futtehpur,10839,25.95,80.81667,86509,23.8612657,,,
Fuyang,10840,32.9,115.9,86509,27.05095459,,,
Galapian,10846,44.3,0.4,86509,29.66819116,,,
Galim (a),10848,7.05,12.43333,86509,26.76329157,,,
Galim (b),10849,7.05,12.43333,86509,21.90992554,,,
Galkiv,10850,51.68333,30.78333,86509,17.78104618,,,
Gambat,10851,27.35,68.53333,86509,30.28429648,,,
Gao-Guenie,10854,11.65,-2.18333,86509,20.6742995,,,
Garhi Yasin,10860,27.88333,68.53333,86509,19.04114002,,,
Garland,10861,41.68333,-112.13333,86509,28.84437081,,,
Gashua,44882,12.85,11.03333,86509,11.70978298,,,
Gasseltepaoua,10866,14.15083,-2.04167,86509,22.34878378,,,
Geidam,10870,12.91667,11.91667,86509,22.35253865,,,
Gifu,10914,35.53333,136.88333,86509,28.53013116,,,
Girgenti,10917,37.31667,13.56667,86509,12.67821206,,,
Git-Git,10919,9.6,9.91667,86509,28.51644607,,,
Glanerbrug,10923,52.2,6.86667,86509,28.7296446,,,
Glanggang,10924,-7.25,107.7,86509,18.68553409,,,
Glasatovo,10926,57.35,37.61667,86509,28.31603103,,,
Glatton,10930,52.45972,-0.3,86509,11.13670614,,,
Gnadenfrei,10936,50.66667,16.76667,86509,11.74281406,,,
Gopalpur,10948,24.23333,89.05,86509,26.36467243,,,
Gorlovka,10949,48.28333,38.08333,86509,13.75853986,,,
Granes,10956,42.9,2.25,86509,25.01175925,,,
Grefsheim,11196,60.66667,11,86509,28.6238679,,,
Grimsby,50911,43.2,-79.61667,86509,17.27878019,,,
Grosnaja,11206,43.66667,45.38333,86509,18.56051917,,,
Gross-Divina,11207,49.26667,18.71667,86509,30.89442874,,,
Grossliebenthal,11208,46.35,30.58333,86509,21.91522503,,,
Grüneberg,11426,51.93333,15.5,86509,24.61974476,,,
Grzempach,11429,52.86667,16.63333,86509,11.26504322,,,
Gualeguaychú,11432,-33,-58.61667,86509,23.02447056,,,
Guangmingshan,11435,39.80417,122.76389,86509,14.34297237,,,
Guangnan,11436,24.1,105,86509,29.0089511,,,
Guangrao,11437,37.1,118.4,86509,24.71473542,,,
Guareña,11439,38.73333,-6.01667,86509,13.17897029,,,
Guêa,11440,43.76667,20.23333,86509,16.51232009,,,
Guibga,11442,13.5,-0.68333,86509,22.69593372,,,
Guidder,11443,9.91667,13.98333,86509,24.99352093,,,
Gujargaon,11448,22.98333,76.05,86509,20.97721948,,,
Gujba,11449,11.49167,11.65833,86509,14.0003382,,,
Gumoschnik,11450,42.9,24.7,86509,22.30959459,,,
Gurram Konda,11464,13.78333,78.56667,86509,18.31254326,,,
Gursum,11465,9.36667,42.41667,86509,17.35659404,,,
Gütersloh,11466,51.91667,8.38333,86509,27.42071656,,,
Gyokukei,11467,35,127.5,86509,27.87824576,,,
Hachi-oji,11468,35.65,139.33333,86509,23.43663376,,,
Hainaut,11472,50.31667,3.73333,86509,16.25881916,,,
Hallingeberg,11479,57.81667,16.23333,86509,19.37680515,,,
Hamlet,11485,41.38333,-86.6,86509,10.19430828,,,
Haraiya,11824,26.8,82.53333,86509,29.44066281,,,
Haripura,11829,28.38333,75.78333,86509,12.93746405,,,
Harleton,11830,32.675,-94.51167,86509,30.20284914,,,
Harrison County,11842,38.25,-86.16667,86509,11.06759864,,,
Hashima,11848,35.2945,136.70033,86509,11.54876927,,,
Hassi-Jekna,11852,28.95,0.81667,86509,15.61933018,,,
Hatford,11855,51.65,-1.51667,86509,22.64707578,,,
Haverö,11859,60.24556,22.06194,86509,24.75150845,,,
Hedeskoga,11869,55.46667,13.78333,86509,11.73709862,,,
Hedjaz,11870,27.33333,35.66667,86509,27.26770268,,,
Heredia,11875,10,-84.1,86509,17.56650222,,,
Hessle,11878,59.85,17.66667,86509,23.41398596,,,
Higashi-koen,11883,33.6,130.43333,86509,15.11931545,,,
High Possil,11884,55.9,-4.23333,86509,19.72891617,,,
Hiroshima,11889,34.45,132.38333,86509,11.67055365,,,
Hoima,44714,1.345,31.47278,86509,10.23115085,,,
Hökmark,11893,64.43333,21.2,86509,25.59334506,,,
Holbrook,11894,34.9,-110.18333,86509,11.09002321,,,
Holetta,11895,9.06667,38.41667,86509,15.88549289,,,
Homestead,11901,41.8,-91.86667,86509,28.70933382,,,
Honolulu,11904,21.3,-157.86667,86509,24.29772881,,,
Hotse,11913,35.66667,115.5,86509,23.18531957,,,
Hoxie,11915,39.35,-100.45,86509,14.87075133,,,
Hraschina,11916,46.1,16.33333,86509,12.34258702,,,
Huaxi,54719,26.46469,106.63241,86509,22.18016192,,,
Hungen,11986,50.3,8.91667,86509,23.66949055,,,
Hvittis,11989,61.18333,22.68333,86509,25.85505293,,,
Ibbenbüren,11992,52.28333,7.7,86509,10.18494219,,,
Ibitira,11993,-20,-45,86509,18.83492255,,,
Ibrisim,11994,38,35,86509,15.4934742,,,
Ichkala,11995,58.2,82.93333,86509,23.06179556,,,
Idutywa,12000,-32.1,28.33333,86509,19.74715414,,,
Iguaracu,12003,-23.2,-51.83333,86509,25.44261355,,,
Ijopega,12004,-6.03333,145.36667,86509,11.74200753,,,
Indarch,12027,39.75,46.66667,86509,25.3768768,,,
Independence,12028,39.08333,-94.4,86509,22.88895239,,,
Inner Mongolia,12037,41,112,86509,20.63615442,,,
Innisfree,12039,53.415,-111.3375,86509,17.86238197,,,
Ipiranga,12043,-25.5,-54.5,86509,30.39617905,,,
Ishinga,12049,-8.93333,33.8,86509,13.87870684,,,
Isthilart,12053,-31.18333,-57.95,86509,27.5787858,,,
Itapicuru-Mirim,12056,-3.4,-44.33333,86509,10.74686876,,,
Itqiy,12058,26.59083,-12.95217,86509,29.91227663,,,
Ivuna,12063,-8.41667,32.43333,86509,22.64917499,,,
Jackalsfontein,12065,-32.5,21.9,86509,21.27240858,,,
Jajh deh Kot Lalu,12067,26.75,68.41667,86509,25.16048365,,,
Jalandhar,12069,31,75,86509,15.1618648,,,
Jamkheir,12072,18.75,75.33333,86509,19.43183502,,,
Jartai,12074,39.7,105.8,86509,13.24078094,,,
Jelica,12078,43.83333,20.44167,86509,15.17033947,,,
Jesenice,51589,46.42137,14.05217,86509,21.79798409,,,
Jhung,12085,31.3,72.38333,86509,28.54455843,,,
Jiange,12086,31.91667,104.91667,86509,19.92794795,,,
Jianshi,12087,30.80833,109.5,86509,20.47879568,,,
Jilin,12171,44.05,126.16667,86509,25.70304716,,,
Jodiya,47362,22.68,70.31333,86509,16.64597682,,,
Jodzie,12173,55.7,24.4,86509,30.80333586,,,
Johnstown,12198,40.35,-104.9,86509,28.75105602,,,
Jolomba,12199,-11.85,15.83333,86509,29.94459205,,,
Jonzac,12202,45.43333,-0.45,86509,13.61736075,,,
Juancheng,12203,35.5,115.41667,86509,30.7958391,,,
Judesegeri,12207,12.85,76.8,86509,24.40441246,,,
Jumapalo,12209,-7.71667,111.2,86509,27.25644798,,,
Junan,12210,35.2,118.8,86509,18.47161723,,,
Juromenha,12213,38.74028,-7.27,86509,30.77849952,,,
Juvinas,12214,44.71667,4.3,86509,13.74661681,,,
Kaba,12218,47.35,21.3,86509,18.67231921,,,
